code,code_description,code_type,section,section_text,subsection,subsection_text,subheading,subheading_text,topic,topic_text,code_version
19499,"Unlisted procedure, breast",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
20999,"Unlisted procedure, musculoskeletal system, general",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
21089,Unlisted maxillofacial prosthetic procedure,CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
21299,Unlisted craniofacial and maxillofacial procedure,CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
21499,"Unlisted musculoskeletal procedure, head",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
21899,"Unlisted procedure, neck or thorax",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
22899,"Unlisted procedure, spine",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
22999,"Unlisted procedure, abdomen, musculoskeletal system",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
23929,"Unlisted procedure, shoulder",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
24999,"Unlisted procedure, humerus or elbow",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
25999,"Unlisted procedure, forearm or wrist",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
26989,"Unlisted procedure, hands or fingers",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
27299,"Unlisted procedure, pelvis or hip joint",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
27599,"Unlisted procedure, femur or knee",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
27899,"Unlisted procedure, leg or ankle",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
28899,"Unlisted procedure, foot or toes",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
29799,"Unlisted procedure, casting or strapping",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
29999,"Unlisted procedure, arthroscopy",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
30999,"Unlisted procedure, nose",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
31299,"Unlisted procedure, accessory sinuses",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
31599,"Unlisted procedure, larynx",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
31899,"Unlisted procedure, trachea, bronchi",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
32999,"Unlisted procedure, lungs and pleura",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
33999,"Unlisted procedure, cardiac surgery",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
36299,"Unlisted procedure, vascular injection",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
37501,Unlisted vascular endoscopy procedure,CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
37799,"Unlisted procedure, vascular surgery",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
38129,"Unlisted laparoscopy procedure, spleen",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
38589,"Unlisted laparoscopy procedure, lymphatic system",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
38999,"Unlisted procedure, hemic or lymphatic system",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
39499,"Unlisted procedure, mediastinum",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
39599,"Unlisted procedure, diaphragm",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
40799,"Unlisted procedure, lips",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
40899,"Unlisted procedure, vestibule of mouth",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
41599,"Unlisted procedure, tongue, floor of mouth",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
41899,"Unlisted procedure, dentoalveolar structures",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
42299,"Unlisted procedure, palate, uvula",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
42699,"Unlisted procedure, salivary glands or ducts",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
42999,"Unlisted procedure, pharynx, adenoids, or tonsils",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
43289,"Unlisted laparoscopy procedure, esophagus",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
43499,"Unlisted procedure, esophagus",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
43659,"Unlisted laparoscopy procedure, stomach",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
43999,"Unlisted procedure, stomach",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
44238,"Unlisted laparoscopy procedure, intestine (except rectum)",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
44799,"Unlisted procedure, small intestine",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
44899,"Unlisted procedure, Meckel’s diverticulum and the mesentery",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
44979,"Unlisted laparoscopy procedure, appendix",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
45399,"Unlisted procedure, colon",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
45499,"Unlisted laparoscopy procedure, rectum",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
45999,"Unlisted procedure, rectum",CPT,Surgery Guidelines,Guidelines to direct general reporting of services are presented in the Introduction. Some of the commonalities are repeated here for the convenience of those referring to this section on Surgery. Other definitions and items unique to Surgery are also listed.,Unlisted Service or Procedure,"A service or procedure may be provided that is not listed in this edition of the CPT codebook. When reporting such a service, the appropriate “Unlisted Procedure” code may be used to indicate the service, identifying it by “Special Report” as discussed in the section below. The “Unlisted Procedures” and accompanying codes for Surgery are as follows:",Unlisted Service or Procedure,,Unlisted Service or Procedure,,CPT 2024 AMA
